"run_name","lambda_pol","seed","epoch","gnorm_max","gnorm_mean","spike_count_gt10","nan_count","gamma_mean","gamma_max","gamma_global_max"
"exp5_p05_seed44","0.5","44","1","3.4","0.21","0","0","1.0051","1.0388","1.0489"
"exp5_p05_seed44","0.5","44","2","0.78","0.22","0","0","1.0084","1.0511","1.0705"
"exp5_p05_seed44","0.5","44","3","0.88","0.28","0","0","1.0103","1.0803","1.0999"
"exp5_p05_seed44","0.5","44","4","1.0","0.31","0","0","1.015","1.1275","1.1665"
"exp5_p05_seed44","0.5","44","5","0.95","0.33","0","0","1.0209","1.1706","1.216"
"exp5_p05_seed44","0.5","44","6","0.97","0.33","0","0","1.0264","1.1908","1.2697"
"exp5_p05_seed44","0.5","44","7","1.18","0.34","0","0","1.0304","1.198","1.3209"
"exp5_p05_seed44","0.5","44","8","1.35","0.35","0","0","1.0341","1.1989","1.3602"
"exp5_p05_seed44","0.5","44","9","1.22","0.35","0","0","1.0384","1.2012","1.3913"
"exp5_p05_seed44","0.5","44","10","1.04","0.35","0","0","1.0428","1.2039","1.4166"
"exp5_p05_seed44","0.5","44","11","1.9","0.35","0","0","1.0479","1.211","1.4361"
"exp5_p05_seed44","0.5","44","12","1.58","0.35","0","0","1.0541","1.2178","1.4586"
"exp5_p05_seed44","0.5","44","13","1.26","0.35","0","0","1.0614","1.2293","1.4794"
"exp5_p05_seed44","0.5","44","14","1.33","0.35","0","0","1.0723","1.2519","1.5022"
"exp5_p05_seed44","0.5","44","15","1.77","0.35","0","0","1.0873","1.2783","1.5245"
"exp5_p05_seed44","0.5","44","16","1.87","0.35","0","0","1.1192","1.3381","1.5461"
"exp5_p05_seed44","0.5","44","17","1.81","0.35","0","0","1.173","1.3999","1.5572"
"exp5_p05_seed44","0.5","44","18","1.68","0.36","0","0","1.1951","1.4252","1.5666"
"exp5_p05_seed44","0.5","44","19","2.24","0.37","0","0","1.2188","1.4544","1.5761"
"exp5_p05_seed44","0.5","44","20","2.03","0.38","0","0","1.2423","1.486","1.5804"
"exp5_p05_seed44","0.5","44","21","2.02","0.41","0","0","1.2625","1.5113","1.586"
"exp5_p05_seed44","0.5","44","22","2.54","0.46","0","0","1.2757","1.5269","1.5932"
"exp5_p05_seed44","0.5","44","23","4.3","0.49","0","0","1.2877","1.5404","1.599"
"exp5_p05_seed44","0.5","44","24","4.51","0.59","0","0","1.2944","1.5468","1.6034"
"exp5_p05_seed44","0.5","44","25","4.85","0.82","0","0","1.2989","1.5515","1.6056"
"exp5_p05_seed44","0.5","44","26","14.11","1.57","8","0","1.3005","1.5529","1.6059"
"exp5_p05_seed44","0.5","44","27","17.3","1.57","3","0","1.3022","1.5547","1.6053"
"exp5_p05_seed44","0.5","44","28","44.67","1.56","8","0","1.3031","1.5555","1.6055"
"exp5_p05_seed44","0.5","44","29","21.67","1.58","5","0","1.3036","1.5561","1.6055"
"exp5_p05_seed44","0.5","44","30","18.41","1.63","8","0","1.3042","1.5566","1.6056"
